2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-16-04/25/23 14:16:04 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:04 | 204.79.197.200 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:05 | 172.20.10.46 -> 204.79.197.200 | Protocol: 6
2023-16-04/25/23 14:16:06 | 172.20.10.46 -> 34.120.4.185 | Protocol: 17
2023-16-04/25/23 14:16:06 | 34.120.4.185 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:07 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:07 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-16-04/25/23 14:16:07 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
